Material_health;Product_circularity;Product_number;Product_description
***;****;704521900000;MBUD FH-FOLIE 75MX29CM
***;****;704522000000;MBUD MZ-BEUTEL MIT HENKEL 20L 30ST
***;**;704521200000;N°39 BACKOFENSCHUTZ WIEDERVERWENDBAR
*;**;704521300000;N°29 SILIKON FLEXI DECKEL S -XL
***;****;704521400000;N°59 POCHIERTE EIER BEUTEL 20 ST
***;****;704521500000;N°63 BEUTEL 25 X 1.5L & 25 X 2.5L
*;**;704521600000;N°45 GENUSSFOLIE 2 IN 1 29X6M
*;**;704521700000;N°9 THERMO BEUTEL 3 STK 21X22.5 CM
***;****;704512800000;N°28 FRESH BAG 10STK.
***;****;704500800000;N°3 GEFRIERBEUTEL 2L 20x32CM 50STK.
***;****;704500900000;N°4 GEFRIERBEUTEL 3L 24x36CM 50STK.
***;****;704502400000;N°26 ALLZWECKBEUTEL MIT ZUG 55L
***;****;704503900000;MBUD TIEFKUEHLBEUTEL 3L 24x36cm 100stk
***;****;704504100000;MBUD MEHRZWECKBEUTEL 150Stk. 20x30cm
***;****;704554000000;N°13 ALLZWECKBEUTEL 2L 20x30CM 100STK.
***;****;704554900000;N°14 KNOTENBEUTEL 5L 100STK. 22/11x45CM
***;****;704555000000;N°15 ALLZWECKBEUTEL 5L 30x45CM 50STK.
***;****;704555600000;N°18 ALLZWECKBEUTEL MIT ZUG 35L
***;****;704555700000;N°19 ALLZWECKEUTEL MIT ZUG 20L
***;****;704505300000;N°7 STEHBEUTEL 0.95L 18X16.5CM
***;****;704525700000;MBUD ZIP-BEUTEL 1L 20STK
***;****;704525600000;MBUD ZIP-BEUTEL 3L 20STK
***;**;704525800000;MBUD BACKPAPIER BÖGEN 42x33CM 30STK
***;**;704527200000;N°31 BACKPAPIER BOGEN FLACH 24STK 42x33CM 
***;**;704527600000;GENERATION-M SILIKONDECKEL
***;****;700170600001;VINTAGE TASSE KHAKI
***;****;700170600002;VINTAGE DESSERTELLER 22.5CM KHAKI
***;****;700170600003;VINTAGE TELLER FLACH 26.2CM KHAKI
***;****;700170600004;VINTAGE TELLER TIEF 22CM KHAKI
***;****;700170600005;VINTAGE SCHÜSSEL 14CM KHAKI
***;****;700170600006;VINTAGE SCHÜSSEL 18CM KHAKI
***;****;700170700001;VINTAGE TASSE OFFWHITE
***;****;700170700002;VINTAGE DESSERTELLER 22.5CM OFFWHITE
***;****;700170700003;VINTAGE TELLER FLACH 26.2CM OFFWHITE
***;****;700170700004;VINTAGE TELLER TIEF 22CM OFFWHITE
***;****;700170700005;VINTAGE SCHÜSSEL 14CM OFFWHITE
***;****;700170700006;VINTAGE SCHÜSSEL 18CM OFFWHITE
***;****;700166500005;Platte oval 33 cm
***;****;700166500004;Platte oval 23 cm
***;****;700166500003;Schüssel 26 cm
***;****;700166500002;Schüssel 17,5 cm
***;****;700166500001;Schüssel 11,5 cm
***;***;766600300068;GM KT WAFFLE TWO TONE PETROL 2ER
***;***;766600300080;GM KT WAFFLE TWO TONE GRAU 2ER
***;***;766600400074;GM KT BISTRO BEIGE 2ER
***;***;766600400054;GM KT BISTRO COGNAC 2ER
***;***;766600400068;GM KT BISTRO PETROL 2ER
***;***;766600400080;GM KT BISTRO GRAU 2ER
***;***;766602200000;GM KT HOME SWEET HOME 2ER
***;***;766602300000;GM KT EAT.DRINK.LOVE 2ER
***;***;766601600000;GM KOCHSCHÜRZE MIT LATZ
***;***;766601700000;GM KOCHSCHÜRZE BISTRO
***;**;766601800054;GM OFENHANDSCHUH/LAPPEN SET COGNAC
***;**;766601800068;GM OFENHANDSCHUH/LAPPEN SET PETROL
***;***;766600200068;GM KT WAFFLE PETROL 2ER
***;***;766600200080;GM KT WAFFLE GRAU 2ER
***;***;766600500000;GM KT VEGGIE PRINT 2ER
***;***;766600600000;GM KT ONION PRINT 2ER
***;***;766600700000;GM KT EUCALYPTUS PRINT 2ER
***;***;766600800000;GM KT HEART PRINT 2ER
***;***;766600900000;GM KT RADISH PRINT 2ER
***;***;766601000000;GM KT LEMON PRINT 2ER
***;****;703810100000;PFANNENSCHONER 3ER SET 38 X 38 CM
***;****;703810200000;PFANNENSCHONER 3ER SET KLEIN 28 X 28 CM
***;****;703796800000;MINI BRÄTER STEINZUG 10 CM SCHWARZ
***;****;703579600000;OFENFORM GLAS OVAL 26 X 18 CM
***;****;703579700000;OFENFORM GLAS OVAL 30 X 21 CM
***;****;703579800000;OFENFORM GLAS OVAL 39.5 X 27.5 CM
***;****;703579900000;OFENFORM GLAS RUND 26 CM
***;****;703580000000;OFENFORM GLAS RECHTECKIG 29 X 17.5 CM
***;****;703580200000;OFENFORM GLAS RECHTECKIG 39 X 24 CM
***;****;703580300000;OFENFORM GLAS RECHTECKIG 34 X 20.5 CM
***;****;703580400000;BRÄTER MIT DECKEL GLAS 37 x 22 CM
***;****;703795800000;RAMEQUIN 10 CM WEISS
***;****;703795900000;RAMEQUIN 17.3 CM WEISS
***;****;703796000000;EIERPFÄNNCHEN 14 CM WEISS
***;****;703796100000;EIERPFÄNNCHEN 20.5 CM WEISS
***;****;703796200000;OFENFORM RECHTECKIG WEISS
*;**;703810700000;STUFENDECKEL 16-20 CM
*;**;703810800000;STUFENDECKEL 24-28 CM
*;**;703810900000;DECKEL MIT SILIKONRAND 18 CM
*;**;703811000000;DECKEL MIT SILIKONRAND 20 CM
*;**;703811100000;DECKEL MIT SILIKONRAND 24 CM
*;**;703811200000;DECKEL MIT SILIKONRAND 28 CM
****;****;703796400000;GM RACLETTE UNTERSETZER MIT GRAVUR 2ER
***;**;703796500000;GM KF-GABELN OLIVENHOLZ
***;****;703796600000;KÄSEFONDUETELLER WEISS
*;*;703796700000;BRENNPASTE 250 ML
***;****;708129300000;AUSZIEHBARE ABGIESSHILFE INOX
***;****;703796900000;MINI BRÄTER STEINZUG 10 CM WEISS
*;*;703580500000;PRIMA CRÊPE-PFANNE 
*;*;703580700000;PRIMA OFENFORM 35 x 27 CM
***;****;703580600000;RECY GRILLPFANNE MINI
***;****;703310500000;PRIMA STIELKASS. MIT DECKEL 18 CM
***;****;703310600000;PRIMA KASS. MIT DECKEL 22 CM 
***;****;703797700000;GUSS-BRAETER  SCHWARZ MIT DECKEL 21 CM
***;****;703797800000;GUSS-BRAETER  SCHWARZ MIT DECKEL 26 CM
***;****;703797900000;GUSS-BRAETER SCHWARZ OVAL MIT DECKEL
***;****;703797100000;GUSS-BRATPFANNE 28 CM
***;****;703797000000;GUSS-BRATPFANNE 22 CM
***;****;703798000000;GUSS-SAUCEPFANNE 19 CM
***;****;703797200000;GUSS-GRILLPFANNE 28 CM
***;****;703797400000;WOK 28 CM
***;****;703797300000;WOK 20 CM
***;****;703797600000;GUSS-PFANNE 
***;****;703310700000;GASTRO SAUCENPFAENNCHEN 12 CM
***;****;703310900000;GASTRO STIELKASSEROLLE 16 CM 1.5 L
***;****;703311000000;GASTRO STIELKASSEROLLE  18 CM 2 L
***;****;703311400000;GASTRO KASSEROLLE 20 CM 2.5 L
***;****;703311700000;GASTRO KASSEROLLE 24 CM 6 L
***;**;703811300000;GASTRO GLASDECKEL 14 CM
***;****;703311100000;GASTRO KASSEROLLE 16 CM 1.4 L FLACH
***;****;703311200000;GASTRO KASSEROLLE 16 CM 2.5 L HOCH
***;****;703311300000;GASTRO KASSEROLLE 18 CM 2.0 L FLACH
***;****;703311500000;GASTRO KASSEROLLE 20 CM 3.7 L HOCH
***;****;703311600000;GASTRO KASSEROLLE 22 CM 6.5 L HOCH
***;**;703310800000;GASTRO STIELKASSEROLLE 14 CM
*;****;703581700000;GASTRO BRATPFANNE 20 CM
*;****;703581800000;GASTRO BRATPFANNE 24 CM
*;****;703581900000;GASTRO BRATPFANNE 28 CM
*;****;703582000000;GASTRO BRATPFANNE 28 CM HOCH
***;****;703797500000;WOK 36 CM MIT ACCESSOIRES
***;****;703583100000;RECY BRATPFANNE 20 CM
***;****;703583200000;RECY BRATPFANNE 24 CM
***;****;703583900000;RECY BRATPFANNE 28 CM
***;****;703584200000;RECY BRATPFANNE 28 CM HOCH
***;****;703584100000;RECY BRATPFANNE 24 CM HOCH
***;****;703584500000;RECY GRILLPFANNE 28X28 CM
***;****;703587100000;RECY BRÄTER 24 CM
***;****;703587200000;RECY BRÄTER 28 CM
***;****;703584300000;RECY BRATPFANNE 16 CM FLACH
***;****;703586900000;RECY STIELKASSEROLE 16 CM
***;****;703586800000;RECY WOK 28 CM
***;****;703586700000;RECY WOK 20 CM 
***;****;703584400000;RECY BRATPFANNE 32 CM FLACH
***;****;703584000000;RECY BRATPFANNE 20 CM HOCH
***;****;703582100000;RECY OFENFORM 10 X 18 CM
***;****;703582700000;RECY OFENFORM 25 X 16 CM
***;****;703582800000;RECY OFENFORM 31 X 23 CM
***;****;703582900000;RECY EIERPFÄNNCHEN 20 CM
***;****;703587000000;RECY BRÄTER 20 CM
*;*;703587400000;TITAN BRÄTER 24 CM
*;*;703588100000;TITAN BRÄTER 28 CM
*;*;703581500000;TITAN WOK 28CM
*;*;703581400000;TITAN WOK 20CM 
*;*;703580900000;TITAN BRATPFANNE 30 CM FLACH
*;*;703580800000;TITAN BRATPFANNE 20 CM HOCH
*;*;703587300000;TITAN BRÄTER 20 CM
***;***;766601100020;GM KT SCHERENSCHNITT SCHWARZ 1ER
***;***;766601100074;GM KT SCHERENSCHNITT BEIGE 1ER
***;***;766601200000;GM KT JACQ. VEGGIE 1ER
***;***;766601300000;GM KT JACQ. LIMONADE 1ER
***;****;700429300010;GM SERV 1/8 FALZ UNI WEISS
***;***;700429300032;GM SERV 1/8 FALZ UNI ROT
***;***;700470100010;GM TT-ROLLE 10M DAMAST WEISS
***;***;700470500010;GM TT-ROLLE 8M VLIES WEISS
***;****;700483000010;GM SERV 40CM UNI WEISS 50ER
***;****;701034200010;GM SERV 24CM UNI WEISS
***;***;701057200000;GM TT 160x220CM UNI WEISS
***;***;701071900010;GM GLASUNTERSETZTER AIR  WEISS
***;***;701072000010;GM TISCHSETS AIR WEISS 12ER
***;***;701072000030;GM TISCHSETS AIR ROT 12ER
***;***;701072000050;GM TISCHSETS AIR GELB 12ER
***;***;701072000061;GM TISCHSETS AIR LIMETTE 12ER
***;***;701072200030;GM TT-ROLLE 8M VLIES ROT
***;***;701072200061;GM TT-ROLLE 8M VLIES LIMETTE
***;***;701072300030;GM TS/TL 4.8M UNI ROT
***;***;701072300061;GM TS/TL 4.8M UNI GRÜN
***;***;701072500030;GM TT 160x220CM ROT
***;***;705414500000;GM SERV 24CM UNI ROT
***;***;705410500000;GM SERV 33CM UNI ROT
***;***;705410800000;GM SERV 40CM UNI ROT
***;***;705417200000;GM TISCHSET AIR GRAU 12ER
***;***;705416800000;GM TT 160X220CM AIR DUNKELGRAU
***;***;705456200000;GM SERV 33CM WEISS 50Stück
***;***;705463900000;GM SERV 33CM FEDER/GOLD
***;***;705466400000;GM SERV 33CM GEPRÄGT HERZ GOLD
***;***;705466800000;GM SERV 33CM GEPRÄGT HERZ/ROT
***;***;705472000000;GM SERV 33CM UNI RECYCLING
***;***;705472100000;GM SERV 40CM SILKTOUCH GEMUSTERT SCHWARZ
***;***;705473600000;GM SERV 40CM SILKTOUCH GEMUSTERT TAUPE
***;***;705474600000;GM SERV 40CM AIRLAID SCHWARZ
***;***;705476700000;GM TS/TL DUNICEL 4.8M UNI TAUPE
***;***;705477800000;GM TS/TL 4.8M HAPPY BIRTHDAY
***;***;705478500000;GM TS/TL 4.8M PUNKTE GOLD
***;***;705479000000;GM TT-ROLLE VLIES 8M HAPPY BIRTHDAY
***;***;705479500000;GM TT-ROLLE  8M DUNICEL TAUPE
***;***;709313400000;GM SERV 1/8 FALZ UNI DUNKELBLAU
***;***;709313500000;GM SERV 33CM UNI DUNKELBLAU
***;***;709313600000;GM SERV 40CM UNI DUNKELBLAU
***;***;709313700000;GM SERV 25CM UNI DUNKELBLAU
***;***;709314900000;GM SERV 1/8 FALZ UNI OLIVE
***;***;709315000000;GM SERV 33CM UNI OLIVE
***;***;709315100000;GM SERV 40CM UNI OLIVE
***;***;709315200000;GM SERV 24CM UNI OLIVE
***;***;709316400000;GM MB SERV 33CM UNI ORANGE
***;***;709316500000;GM MB SERV 40CM UNI ORANGE
***;***;709316600000;GM MB SERV 33CM UNI LIMETTE
***;***;709316700000;GM MB SERV 40CM UNI LIMETTE
***;***;709317500000;GM SERV 33CM BE HAPPY
***;***;709318400000;GM SERV 33CM BON APPETIT GRAU/GOLD
***;***;709318700000;GM SERV 25CM CHEERS WEISS/GOLD
***;***;709318900000;GM SERV 25CM HERZEN
***;***;709319200000;GM TISCHSETS AIR TAUPE 12ER
***;***;709319400000;GM SERV 25CM AIRLAID UNI WEISS
***;***;709319300000;GM SERV 33CM AIRLAID UNI WEISS
***;***;709319500000;GM SERV 40CM AIRLAID UNI WEISS
***;***;709320100000;GM SERV 24CM AIRLAID UNI SCHWARZ
***;***;709320200000;GM SERV 33CM AIRLAID UNI SCHWARZ
***;***;709320300000;GM SERV 24CM AIRLAID UNI BORDEAUX
***;***;709320400000;GM SERV 33CM AIRLAID UNI BORDEAUX
***;***;709320500000;GM SERV 40CM AIRLAID UNI BORDEAUX
***;***;709321300000;GM SERV 40CM SILKTOUCH RANKEN BORDEAUX
***;***;709321400000;GM SERV 25CM UNI RECYCLING
***;***;709321500000;GM SERV 1/8 FALZ UNI RECYCLING
***;***;709321600000;GM SERV 40CM UNI RECYCLING
***;***;709321900000;GM SERV 33CM RECYLCING BLÄTTER
***;***;709322000000;GM SERV 33CM RECYLCING GINKGO
***;***;709322100000;GM SERV 33CM RECYLCING HERZ BLÄTTER
***;***;701072300050;GM TS/TL VLIES 4.8M GELB
***;***;709350700000;GM SERV 1/8FALZ UNI GELB 
***;***;709350800000;GM SERV 24 UNI GELB
***;***;709350900000;GM SERV 33 UNI GELB
***;***;709351000000;GM SERV 40 UNI GELB
***;***;709351500000;GM SERV 1/8FALZ UNI GRAU 
***;***;709351600000;GM SERV 24 UNI GRAU
***;***;709351700000;GM SERV 33 UNI GRAU
***;***;709351800000;GM SERV 40 UNI GRAU
***;***;709351900000;GM SERV 1/8FALZ UNI SCHWARZ 
***;***;709352000000;GM SERV 24 UNI SCHWARZ
***;***;709352100000;GM SERV 33 UNI SCHWARZ
***;***;709352200000;GM SERV 40 UNI SCHWARZ
***;***;709352300000;GM SERV 25 ZITRONE
***;***;709352400000;GM SERV 33 BLUMENWIESE
***;***;709352500000;GM SERV 25 PUNKTE BLAU 
***;***;709352600000;GM  SERV 33 PUNKTE GRÜN
***;***;709352700000;GM SERV 33 EUKALYPTUS
***;***;709352800000;GM TT-ROLLE  8M VLIES RANKE SCHWARZ
***;***;709352900000;GM TT 160X220CM AIR GRÜN
***;***;709353000000;GM TT 160X220CM AIR RANKE SCHWARZ
***;***;709353100000;GM TT 160X220CM AIR PUNKTE GRÜN
***;***;709353200000;GM TS/TL 4.8M VLIES WEISS
***;***;709353600000;GM SERV 33 SILKTOUCH STREIFEN TAUPE
***;***;709353700000;GM SERV 33 SILKTOUCH STREIFEN BORDEAUX
***;***;709353800000;GM SERV 33 SILKTOUCH STREIFEN SCHWARZ
***;***;709353900000;GM SERV 33  RECYCLING NATURE HEART
***;***;709354000000;GM SERV 25  RECYCLING NATURE HEART
***;***;709354100000;GM SERV 25  RECYCLING BLATT SKELETT
***;***;702036100000;TRINKHALME GERADE 50STK SCHWARZ
***;***;702036200000;TRINKHALME COCKTAIL 50STK SCHWARZ
***;****;700165300001;APERO GLAS 6ER SET RUND
***;****;700165300002;APERO GLAS 6ER SET
***;****;700165300003;APERO GLAS 6ER SET GERADE
***;**;701157100000;COCKTAILSHAKER SET 3TLG
****;****;701156400000;KARAFFE MIT EDELSTAHL, 1L
***;****;701153800080;ACQUA DÜNN GRAU 4ER, 37CL
***;****;701153800060;ACQUA DÜNN GRÜN 4ER, 37CL
***;****;701153900080;LD DÜNN GRAU 4ER, 50CL
***;****;701153900060;LD DÜNN GRÜN 4ER, 50CL
***;****;701156700080;KRUG OHNE SPRINKLES GREY, 1.8L
***;****;701156700060;KRUG OHNE SPRINKLES GREEN, 1.8L
***;****;702306900000;K&C TEEGLAS 2ER 23CL
***;**;702324600000;K&C CHEMEX 600ML
***;**;702326900000;K&C TEA POT PREMIUM
***;****;701156300000;KARAFFE GLAS MIT KORKDECKEL, 1L
***;****;701154200001;WHISKEY ACQUA 4ER, 36CL
***;****;701154200002;WHISKEY LD 4ER, 39CL
***;****;701158100000;BASIC ACQUA 6ER, 28CL
***;****;701157000000;WHISKEY SET 3TLG
***;****;701154500001;CLASSIC CHAMPAGNER SCHALE 6ER, 29CL
***;****;;Burgunder 6ER, ca. 57CL
***;****;;Goblet 6ER, ca. 55CL
***;****;;Weinkelch 6ER, ca. 45CL
***;****;;Weinkelch 6ER, ca. 35CL
***;****;;Weinkelch 6ER, ca. 25CL
***;****;701154300001;CRYSTAL CHAMPAGNE 4ER, 25CL
***;****;701154300002;CRYSTAL MARTINI 4ER, 23CL
***;****;701155900000;KRUG ROCK, 1.5L
***;****;701155600000;WEIZEN 2ER, 33CL
***;****;701155700000;TULPE 2ER, 42CL
***;****;701158200001;BASIC ACQUA RILLEN 6ER, 25CL
***;****;701158200002;BASIC LD RILLEN 6ER, 35CL
***;****;701158300001;M-BUDGET PROSECCO 6ER, 14CL
***;****;701158300002;M-BUDGET ROSSO/BIANCO 6ER, 24CL
***;****;701158400000;M-BUDGET ACQUA 6ER 30.5CL
***;****;701156100000;WEINKARAFFE, 0.5L
***;****;701156200000;WEINKARAFFE, 1L
***;****;701156900000;BASIC DEGUGLAS, 6ER, 21.5CL
***;****;701157200000;BIERGLAS MIT HENKEL 2ER, 33CL
***;****;701155800000;PILS 2ER, 30CL
***;****;701153400001;PUCCINI CHAMPAGNER 4ER, 280ml
***;****;701153400002;PUCCINI BIANCO 4ER, 56CL
***;****;701153400003;PUCCINI ROSSO 4ER, 75CL
***;****;701153500000;PUCCINI LONGDRINK 4ER, 36CL
***;****;701154000000;ROCKBAR SHOTGLAS 6ER, 5CL
***;****;701154100000;PURE SHOT 6ER, 3CL
***;****;701154400001;WHISKEY LD ACQUA KARIERT 2ER, 36CL
***;****;701154400002;WHISKEY AQUA KARIERT 2ER, 26CL
***;****;701157500001;ACQUA ROCK 6ER, 26.5CL
***;****;701157500002;LD ROCK 6ER, 34CL
***;****;701155600000;WEIZEN 2ER, 33CL
***;****;701155700000;TULPE 2ER, 42CL
***;****;701158000000;BUBBLES LD EINZEL, 33CL
***;****;701156000000;BUBBLES KRUG GRAU, 1.2L
***;****;701158400000;M-BUDGET ACQUA 6ER 30.5CL
***;****;701158500000;BASIC GLAS 12ER SET, 6X 24CL UND 6 X 33CL
***;****;701157200000;BIERGLAS MIT HENKEL 2ER, 33CL
***;****;701155800000;PILS 2ER, 30CL
***;****;701156100000;WEINKARAFFE, 0.5L
***;****;701156200000;WEINKARAFFE, 1L
***;****;701154800040;RECYCLING ACQUA EINZEL HELLBLAU, 22CL
***;****;701154800060;RECYCLING ACQUA EINZEL DUNKELBLAU, 22CL
***;****;701157300080;RECYCLING LD EINZEL GRAU, 30CL
***;****;701157300060;RECYCLING LD EINZEL GRÜN, 30CL
***;****;701157400001;RECYCLING ACQUA ROCK EINZEL, 22CL
***;****;701157400002;RECLING LD ROCK EINZEL, 50CL
***;****;701156500000;RECYCLING KRUG RUND, 2.3L
***;****;701156600000;RECYCLING KARAFFE, 1L
***;****;701154500002;CLASSIC BIANCO 6ER, 52CL
***;****;701154500003;CLASSIC ROSSO 6ER, 68CL
***;****;701155200000;MARGARITA 4ER, 30CL
***;****;701155300000;GIN 4ER, 65CL
***;****;701155400000;SPRITZ 4ER, 62CL
***;****;701155500000;COCKTAIL 4ER, 44CL
***;****;7011568000001;BASIC PROSECCO 6ER, 19CL
***;****;701156800002;BASIC BIANCO 6ER, 32CL
***;****;701156800003;BASIC ROSSO 6ER, 42CL
***;****;701155600000;WEIZEN 2ER, 33CL
***;****;701155700000;TULPE 2ER, 42CL
***;****;701158100000;BASIC ACQUA 6ER, 28CL
***;****;701155800000;PILS 2ER, 30CL
***;****;701154100000;PURE SHOT 6ER, 3CL
***;****;701157700000;KINDERGLAS MOTIV 1 EINZEL, 25CL
***;****;701157800000;KINDERGLAS MOTIV 2 EINZEL, 25CL
***;****;701157900000;KINDERGLAS MOTIV 3 EINZEL, 25CL
***;****;701161500000;KINDERGLAS MOTIV 4 EINZEL, 25CL
***;****;701153000001;MADOX ACQUA 4ER 25CL
***;****;701153000002;MADOX LD 4ER 37CL
